DRUG.NAME	SYNONYMS	TARGET	TARGET.PATHWAY	Drug
AICAR	N1-(b-D-Ribofuranosyl)-5-aminoimidazole-4-carboxamide	AMPK agonist	metabolism	AICAR
Camptothecin	"7-Ethyl-10-Hydroxy-Camptothecin,SN-38"	TOP1	DNA replication	Camptothecin
Vinblastine	Vinblastine sulphate	Microtubules	cytoskeleton	Vinblastine
Cisplatin	cis-Diammineplatinum(II) dichloride	DNA crosslinker	DNA replication	Cisplatin
Cytarabine	"Ara-Cytidine,Arabinosyl Cytosine,U-19920"	DNA synthesis	DNA replication	Cytarabine
Docetaxel	RP-56976	Microtubules	cytoskeleton	Docetaxel
Methotrexate		DHFR	DNA replication	Methotrexate
ATRA	Tretinoin	Retinoic acid and retinoid X receptor agonist	other	ATRA
Gefitinib	ZD-1839	EGFR	EGFR	Gefitinib
ABT-263	ABT-263	"BCL-2, BCL-XL, BCL-W"	apoptosis	ABT.263
Vorinostat	SAHA	"HDAC inhibitor Class I, IIa, IIb, IV"	chromain  histone acetylation	Vorinostat
Nilotinib		ABL	ABL	Nilotinib
RDEA119	RDEA119	"MEK1, MEK2"	ERK MAPK	RDEA119
CI-1040	"PD-18435,PD-184352"	"MEK1, MEK2"	ERK MAPK	CI.1040
Temsirolimus	CCI-779	mTOR	TOR	Temsirolimus
AZD-2281	"KU0059436, AZD-2281"	"PARP1, PARP2"	Genome integrity	AZD.2281
Veliparib	ABT-888	"PARP1, PARP2"	Genome integrity	Veliparib
Bosutinib	SKI-606	"SRC, ABL, TEC"	ABL	Bosutinib
Lenalidomide		TNF alpha	other	Lenalidomide
Axitinib	AG-013736	"PDGFR, KIT, VEGFR"	RTK	Axitinib
AZD7762	AZD 7762	"CHEK1, CHEK2"	Genome integrity	AZD7762
GW-441756		NTRK1	RTK	GW.441756
CEP-701	CEP-701	"FLT3, JAK2, NTRK1, RET"	RTK	CEP.701
SB-216763	SB 216763	"GSK3A, GSK3B"	WNT	SB.216763
17-AAG	tanespimycin	HSP90	other	X17.AAG
VX-702		p38	JNK and p38	VX.702
AMG-706	AMG-706	"VEGFR, RET, c-KIT, PDGFR"	RTK	AMG.706
KU-55933		ATM	Genome integrity	KU.55933
Elesclomol		HSP70	other	Elesclomol
BIBW2992	"BIBW2992, Tovok"	"ERBB2, EGFR"	EGFR	BIBW2992
GDC0449	GDC0449	SMO	other	GDC0449
PLX4720		BRAF	ERK MAPK	PLX4720
BX-795	BX 795	"TBK1, PDPK1, IKK, AURKB, AURKC"	other	BX.795
NU-7441	KU-57788	DNAPK	Genome integrity	NU.7441
SL-0101-1		"RSK, AURKB, PIM3"	ERK MAPK	SL.0101.1
BIRB-0796		Androgen receptor	JNK and p38	BIRB.0796
JNK-Inhibitor-VIII	JNK Inhibitor VIII	JNK	JNK and p38	JNK.Inhibitor.VIII
X681640	681640	"WEE1, CHEK1"	cell cycle	X681640
Nutlin-3a	Nutlin-3a (-)	MDM2	p53	Nutlin.3a
PD-173074	PD-173074	"FGFR1, FGFR3"	RTK	PD.173074
ZM-447439	ZM447439	AURKB	mitosis	ZM.447439
RO-3306		CDK1	cell cycle	RO.3306
MK-2206		"AKT1, AKT2"	PI3K	MK.2206
PD-0332991	Palbociclib Isethionate	"CDK4, CDK6"	cell cycle	PD.0332991
BEZ235	NVP-BEZ235	"PI3K (class 1), mTORC1/2"	PI3K	NVP.BEZ235
AZD8055	AZD8055	mTORC1/2	TOR	AZD8055
PD-0325901	PD-0325901	"MEK1, MEK2"	ERK MAPK	PD.0325901
SB590885		BRAF	ERK MAPK	SB590885
selumetinib		"MEK1, MEK2"	ERK MAPK	selumetinib
CCT007093		PPM1D	other	CCT007093
EHT-1864		Rac GTPases	cytoskeleton	EHT.1864
Cetuximab	Erbitux	EGFR	EGFR	Cetuximab
PF-4708671		p70 S6KA	TOR	PF.4708671
JNJ-26854165		MDM2	p53	JNJ.26854165
HG-5-113-01		"LOK, LTK, TRCB, ABL"	ABL	HG.5.113.01
HG-5-88-01		"EGFR, ADCK4"	EGFR	HG.5.88.01
TW-37		"BCL-2, BCL-XL"	apoptosis	TW.37
XMD11-85h		"BRSK2, FLT4, MARK4, PRKCD, RET, SPRK1"	other	XMD11.85h
ZG-10		IRAK1	other	ZG.10
XMD8-92		ERK5	other	XMD8.92
QL-VIII-58		"mTOR, ATR"	TOR	QL.VIII.58
CCT018159		HSP90	other	CCT018159
AG-014699	PF-01367338	"PARP1, PARP2"	Genome integrity	AG.014699
SB-505124	"2-(5-Benzo[1,3]dioxol-5-yl-2-tert-butyl-3H-imidazol-4-yl)-6-methylpyridine hydrochloride hydrate"	TGFbetaR-I	other	SB.505124
Tamoxifen		ER	other	Tamoxifen
QL-XII-61		"BMX, BTK"	other	QL.XII.61
JQ1		"BRD2, BRD3, BRD4"	chromatin  other	JQ1
PFI-1		"BRD2, BRD3, BRD4"	chromatin  other	PFI.1
IOX2		EGLN1	other	IOX2
YK-4-279		RNA helicase A	other	YK.4.279
(5Z)-7-Oxozeaenol		TAK1	other	.5Z..7.Oxozeaenol
piperlongumine		Increases ROS levels	other	piperlongumine
FK866	APO866	NAMPT inhibitor	metabolism	FK866
Talazoparib	BMN-673	"PARP1, PARP2"	Genome integrity	Talazoparib
rTRAIL		"DR4, DR5"	apoptosis	rTRAIL
UNC1215		L3MBTL3	other	UNC1215
SGC0946		DOT1L (Q8TEK3)	chromatin  histone methylation	SGC0946
XAV939	NVP-XAV939	"TNKS1, TNKS2"	WNT	XAV939
Trametinib	GSK1120212	"MEK1, MEK2"	ERK MAPK	Trametinib
Dabrafenib	GSK2118436	BRAF	ERK MAPK	Dabrafenib
Temozolomide	Temodar	DNA akylating agent	DNA replication	Temozolomide
Bleomycin-(50-uM)		DNA damage	DNA replication	Bleomycin..50.uM.
SN-38	7-ethyl-10-hydroxy-camptothecin	TOP1	DNA replication	SN.38
GDC0941		PI3K	PI3K	GDC0941
MLN4924		NEDD8-activating enzyme	other	MLN4924
